标题,route,moduleId,name_zh,name_en,basis,adult,child,note
"r1 · 住宿（双人一间均摊）","r1","stay","住宿（双人一间均摊）","Stay (twin share, per head)","per_room_night","","",""
"r1 · 门票与体验","r1","tickets","门票与体验","Tickets & experiences","per_person","","",""
"r1 · 餐食","r1","dining","餐食","Dining","per_person","","",""
"r1 · 境内交通（接驳 / 船票 / 用车）","r1","localTransport","境内交通（接驳 / 船票 / 用车）","Local transport","per_person","","",""
"r1 · 跨境交通","r1","crossBorder","跨境交通","Cross-border transport","per_person","","",""
"r1 · 保险","r1","insurance","保险","Insurance","per_person","","",""
"r1 · 伴手礼与服务包","r1","welcome","伴手礼与服务包","Welcome kit & service pack","per_person","","",""
"r2 · 住宿（双人一间均摊）","r2","stay","住宿（双人一间均摊）","Stay (twin share, per head)","per_room_night","","",""
"r2 · 门票与体验","r2","tickets","门票与体验","Tickets & experiences","per_person","","",""
"r2 · 餐食","r2","dining","餐食","Dining","per_person","","",""
"r2 · 境内交通（接驳 / 船票 / 用车）","r2","localTransport","境内交通（接驳 / 船票 / 用车）","Local transport","per_person","","",""
"r2 · 跨境交通","r2","crossBorder","跨境交通","Cross-border transport","per_person","","",""
"r2 · 保险","r2","insurance","保险","Insurance","per_person","","",""
"r2 · 伴手礼与服务包","r2","welcome","伴手礼与服务包","Welcome kit & service pack","per_person","","",""
"r3 · 住宿（6 晚，双人一间均摊）","r3","stay","住宿（6 晚，双人一间均摊）","Stay (6 nights, twin share)","per_room_night","3000","0",""
"r3 · 门票与体验","r3","tickets","门票与体验","Tickets & experiences","per_person","3600","1800",""
"r3 · 餐食","r3","dining","餐食","Dining","per_person","2400","1100",""
"r3 · 境内交通（接驳 / 船票 / 岛内用车）","r3","localTransport","境内交通（接驳 / 船票 / 岛内用车）","Local transport (transfers, ferry, island vehicle)","per_person","2200","800",""
"r3 · 跨境交通","r3","crossBorder","跨境交通","Cross-border transport","per_person","1300","300",""
"r3 · 保险","r3","insurance","保险","Insurance","per_person","150","150",""
"r3 · 伴手礼与服务包","r3","welcome","伴手礼与服务包","Welcome kit & service pack","per_person","350","100",""
